id,structure_dc809,structure_17387,structure_1b96b,structure_313c0,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
2e913,original,gemini-v15-flash,gemini-v15-flash,llama-3-70b,12.818966838396005,24.09768470101193,-0.36611941622990435,1.4890180483460427,39078623.09775142,98.72291675801183,False,False,True
d15b1,gemini-v15-pro,gpt-4-o,gpt-4-o,llama-3-70b,28.148776358591924,57.18467905376597,0.09211335414385524,1.2271908799186348,22043646.277143907,98.2721862135958,False,False,False
d80f3,original,gemini-v15-pro,original,gemini-v15-pro,18.596056530766358,21.297916295919727,-0.030303181378636072,1.390347609296441,40520095.51967436,98.3925985351689,False,False,True
a7f1d,gemini-v15-pro,gpt-4-o,gpt-4-o,gpt-4-o,43.75539879316376,49.51860441844956,0.7324917206739779,0.9606358548626304,25990556.72556281,97.64229217624238,False,False,False
a0771,llama-3-70b,gemini-v15-pro,gpt-4-o,llama-3-70b,12.405071463706957,26.256115838480902,-0.2990877789286651,1.496087219938636,37967345.838667266,98.65698256838755,False,False,True
2a578,gemini-v15-flash,gemini-v15-pro,gemini-v15-flash,gemini-v15-pro,19.33280503911912,19.05754103296184,0.0892304823035452,1.377764232084155,41673562.05299135,98.27502188681272,False,False,False
e4194,gemini-v15-flash,gemini-v15-flash,llama-3-70b,llama-3-70b,12.065149774719808,24.805402358340586,-0.04607126473258497,1.5018929498270155,38714251.71485714,98.40810846211875,False,False,True
4a4ab,original,gemini-v15-flash,gemini-v15-flash,gemini-v15-pro,18.47373026479038,19.851346438087912,-0.17250683217666238,1.3924368942156433,41264868.03466418,98.53247401568039,False,False,True
b7892,gemini-v15-pro,gemini-v15-pro,original,gemini-v15-pro,19.34955071040223,19.02306837572738,0.06777757384435645,1.3774782225489617,41691310.44411667,98.29612356642684,False,False,False
ea558,gemini-v15-flash,gpt-4-o,gemini-v15-flash,gpt-4-o,43.85183825898183,49.30557425453659,0.7726309635988899,0.95898870639503,26100236.19253578,97.60281009642247,False,False,False
54aae,original,gemini-v15-pro,gemini-v15-flash,gemini-v15-pro,18.501950910095747,19.543469588229996,-0.20694863107419803,1.3919548965990542,41423379.71284853,98.56635193051196,False,False,True
d7fa0,gemini-v15-flash,gemini-v15-flash,gpt-4-o,llama-3-70b,12.51493525854964,24.509007884532988,-0.152931501032397,1.494210789166391,38866851.64391804,98.51321917352543,False,False,True
2470a,original,gemini-v15-pro,llama-3-70b,gemini-v15-flash,28.975476824961028,11.14350895423595,0.4362816772580489,1.2130711583420635,45748134.42367326,97.93365264359058,False,False,False
0f186,gemini-v15-flash,gpt-4-o,llama-3-70b,llama-3-70b,28.40595178997008,57.37916982161286,0.5643549227258604,1.2227984238415956,21943511.89543576,97.80767622420933,False,False,False
986cd,llama-3-70b,gpt-4-o,gemini-v15-flash,gemini-v15-pro,35.50295614843448,54.36037131400285,0.14307103181455638,1.101584357023239,23497752.877706815,98.22206281936549,False,False,False
47eb8,gemini-v15-flash,gemini-v15-flash,gemini-v15-flash,original,15.770759779069984,21.807811069479058,-0.49111419389209443,1.438602576032281,40257574.07224621,98.84586511052466,False,False,True
b8e89,gpt-4-o,gemini-v15-flash,llama-3-70b,gemini-v15-pro,19.846406322764288,18.389074018346495,0.04323289975848209,1.3689921224489807,42017725.079040445,98.32026639301739,False,False,False
573e1,llama-3-70b,gemini-v15-flash,gemini-v15-flash,gpt-4-o,28.731743367974374,9.780028224716865,0.27607778812909556,1.217234030738473,46450128.15495847,98.09123366099743,False,False,False
