id,structure_1eed3,structure_6bfb5,structure_012c1,structure_c6bb4,structure_b7648,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
f709f,gpt-4,gpt-4-turbo,gpt-4,gpt-4-turbo,original,47.07621670975803,-4.249965228674902,-579.6547304316381,12.665185475721955,1297980.8052956222,679.3425975871503,False,True,True
69f3f,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4,-0.1700035846410579,-5.261459195823669,-1.0823370056581187,23.971673898398876,1310574.5721247194,101.03591473275344,True,True,True
0c049,gpt-4-turbo,gpt-4,gpt-4,gpt-4,gpt-4-turbo,46.997173625268,-11.1549137050768,-580.0609131073813,12.684101268649101,1383951.9666697816,679.7485937226572,False,True,True
35ed5,gpt-4,gpt-4-turbo,original,original,gpt-4,-0.2915030870414052,-8.878880256237958,-1.0849329620891335,24.000749932602048,1355613.8495075994,101.03850949698608,True,True,True
ff8fb,gpt-4-turbo,original,original,original,original,-0.05732845961885395,-5.591792208104673,-0.6947815939996019,23.94470962509513,1314687.4359358076,100.64853730672148,True,True,True
b0511,gpt-4-turbo,gpt-4,original,gpt-4,gpt-4,0.042247612588545966,-5.919081037634555,-1.4224472247887014,23.920880084857345,1318762.3976644338,101.37586875556053,False,True,True
a6615,gpt-4-turbo,gpt-4,original,gpt-4,original,-0.13171352056367433,-6.576967166028156,-0.8287333870546001,23.962510706856847,1326953.5137463629,100.78242758213771,True,True,True
45245,gpt-4-turbo,original,gpt-4,original,original,48.01590255135039,-6.555113064153522,-597.006957325071,12.440309347584844,1326681.4157683153,696.6868554343955,False,True,True
ebe20,gpt-4-turbo,gemini-pro,gpt-4,gpt-4-turbo,gpt-4,47.95486618026832,-4.26028468457072,-596.8321482973511,12.454915955662727,1298109.2893257558,696.5121266880842,False,True,True
1a886,gpt-4,original,gpt-4,gpt-4,gpt-4,48.389087490698365,-6.559756653467277,-599.3737558747326,12.351002495735884,1326739.231517066,699.0525670269147,False,True,True
6064a,original,original,gpt-4,gpt-4,gpt-4-turbo,47.758669564775666,-9.186221080724994,-592.2145178269951,12.50186774879694,1359440.4454205367,691.8966168740982,False,True,True
75986,original,original,gpt-4,gpt-4,gpt-4,47.62768473407779,-1.297742434478151,-588.8867741388834,12.533213716000319,1261223.6849319064,688.5704014591768,False,True,True
9e6da,original,gpt-4,gpt-4,original,original,47.80969381913874,0.014670585580043808,-588.085084479295,12.489657139405608,1244883.2774802689,687.7690799772271,False,False,True
7238a,gpt-4,gpt-4-turbo,gpt-4,original,original,47.92583873022756,-3.591553897656031,-592.9916035476615,12.46186251193285,1289783.1500947112,692.6733457165358,False,True,True
9d9b4,gpt-4-turbo,original,gpt-4,gpt-4-turbo,original,47.5346297905361,-5.248673241378385,-586.9477858590302,12.555482685565948,1310415.3785613358,686.6323036637123,False,True,True
ac5d5,original,gemini-pro,original,gpt-4,gpt-4,0.06340036146264579,-2.3032293972277347,-0.8164263399172562,23.915818022564054,1273742.6605954587,100.77012618703729,False,True,True
9bdeb,gpt-4,gpt-4,original,original,gpt-4,-0.08276376073229952,-2.6319427858717,-0.8362765468190171,23.95079654455185,1277835.3590243517,100.78996727769037,True,True,True
687a3,gpt-4-turbo,gemini-pro,original,original,gpt-4,-0.15993823723671236,-7.563959323807718,-1.3429306256014284,23.96926516108215,1339242.2168933142,101.29638867453635,True,True,True
f46e3,gpt-4,gpt-4,gpt-4,original,gpt-4,47.24475606527385,-3.2741297804066147,-580.2411466397542,12.624852338805795,1285831.010538368,679.9287444824067,False,True,True
d7ce2,gpt-4,gemini-pro,original,gpt-4,gpt-4-turbo,-0.17350320448702394,-4.9327141922052125,-1.2040064679162603,23.972511392086744,1306481.4800685483,101.15752831805871,True,True,True
70109,gpt-4-turbo,gpt-4,gpt-4,original,gpt-4-turbo,47.339307811477575,-3.596130988210057,-581.3831252911635,12.602225169539452,1289840.1378900567,681.0701986777519,False,True,True
79f83,original,gpt-4,original,gpt-4-turbo,original,-0.06594397719141083,-1.3164957080766806,-0.6443334648326265,23.94677140377462,1261457.175553356,100.59811234596245,True,True,True
47d15,gpt-4,gpt-4-turbo,gpt-4,gpt-4,gpt-4-turbo,47.08464875698187,-5.5686268565439825,-575.8917653776903,12.663167603313923,1314399.0120345838,675.5813606827076,False,True,True
97cbe,original,original,original,gpt-4-turbo,gpt-4,0.19802833015343668,-4.935289053434273,-0.49164406515418557,23.8836002163589,1306513.5387886092,100.44549306920747,False,True,True
4d79a,original,gpt-4,original,original,gpt-4,-0.032577996685111105,-1.3166314768429026,-0.6361110921346084,23.938786594197154,1261458.865964016,100.58989374940614,True,True,True
d3b68,gpt-4,gpt-4,original,gpt-4-turbo,gpt-4,-0.23097726042112354,-1.643969777253278,-1.1876841415604922,23.986265502870083,1265534.4436377233,101.14121348776517,True,True,True
e2d3d,gpt-4,original,original,gpt-4,original,0.13476353998443727,0.6557797476024315,-0.6791570569460007,23.89874010719359,1236901.0456917125,100.63291994526892,False,False,True
ba3ad,gpt-4-turbo,gpt-4,original,gpt-4-turbo,gpt-4,-0.1218750826738352,-10.197292895099856,-1.4232131176373184,23.960156271234155,1372028.9561692483,101.37663429667127,True,True,True
e1724,original,gpt-4-turbo,gpt-4,gpt-4-turbo,gpt-4,48.299699938229786,-8.197621842737433,-595.9812888625596,12.372393822297454,1347131.7330653523,695.6616580122527,False,True,True
3f255,gpt-4,original,gpt-4,original,gpt-4,47.56453122320523,-6.2279845762715365,-588.6151754545208,12.54832697659731,1322608.4503989283,688.2989275070731,False,True,True
6fb12,gpt-4,gemini-pro,gpt-4,original,original,47.59827497112094,0.3484749671789549,-590.3350823650055,12.540251763537526,1240727.1928322925,690.0180445467423,False,False,True
a1aed,gpt-4-turbo,gemini-pro,gpt-4,original,gpt-4-turbo,47.62947496320665,-2.285955604034954,-587.4734300698896,12.532785296440125,1273527.59048057,687.1577064713777,False,True,True
6e27f,gpt-4-turbo,original,original,gpt-4-turbo,original,-0.10051215081583216,-5.263088911642853,-0.9854538700432208,23.955043910071254,1310594.8631612367,100.9390760909195,True,True,True
8542f,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,-0.19619251363986964,-9.208714200915976,-1.0141922989355177,23.97794116847217,1359720.4995979655,100.96780132162873,True,True,True
05635,gpt-4,gemini-pro,original,gpt-4-turbo,original,-0.18213214064439232,-0.9866111506948244,-0.8614493848227132,23.97457638196647,1257349.8953014552,100.815128555016,True,True,True
24856,gpt-4-turbo,original,gpt-4,gpt-4-turbo,gpt-4,46.72411760537834,-2.609766478479673,-574.6920827563887,12.749446278437972,1277559.2493751633,674.3822290181378,False,True,True
8fe51,original,original,original,gpt-4-turbo,original,0.030393016763978573,-0.9857955821766333,-0.364952097251195,23.923717007040977,1257339.740935651,100.31885928485349,False,True,True
08832,gpt-4-turbo,original,gpt-4,gpt-4,gpt-4,48.22206101835282,-7.541290503966464,-599.1362245753129,12.390973584726453,1338959.9751393902,698.8151448142369,False,True,True
c2d01,gpt-4-turbo,gemini-pro,original,original,gpt-4-turbo,-0.21085269114969857,-2.6301871273218387,-1.4165951624362914,23.98144949413836,1277813.4999177959,101.3700193807799,True,True,True
9060f,gpt-4,original,gpt-4,gpt-4,original,47.82071436896989,-0.3157163013153548,-589.1918512612363,12.487019812688231,1248996.812065829,688.8753384742283,False,True,True
ee73f,gpt-4-turbo,gpt-4,gpt-4,gpt-4-turbo,gpt-4,47.882842564531664,-4.910809125291939,-591.8583837259175,12.472151920199394,1306208.7475421655,691.5406463283451,False,True,True
bf2fc,original,gemini-pro,original,original,original,-0.09922595922480716,-6.579943382085833,-0.40204734624201555,23.954736111685634,1326990.569598677,100.35593749777428,True,True,True
abd6e,gpt-4,gpt-4-turbo,original,original,original,0.0047966537157859545,-2.629588837703242,-0.799149367414514,23.92984247021377,1277806.0508175564,100.75285714902,False,True,True
70a96,gpt-4-turbo,original,gpt-4,original,gpt-4-turbo,48.284009207179714,-4.916519583176811,-603.6922218897087,12.376148769631982,1306279.8465080764,703.3690497774173,False,True,True
4458e,original,original,gpt-4,gpt-4-turbo,gpt-4,48.38612591407296,-3.93176593672382,-600.062604943361,12.351711230352521,1294019.0143031245,699.7410997401797,False,True,True
24f99,original,original,original,original,gpt-4,0.023639732570911096,-6.57838434746621,-0.3999884693774127,23.925333134829998,1326971.1585896986,100.35387956645314,False,True,True
b98a9,gpt-4,gemini-pro,gpt-4,original,gpt-4-turbo,48.19116717081258,-2.553926112512827,-600.333183256207,12.3983667884022,1276864.0000000037,700.0115537893745,False,True,True
e6c16,gpt-4,gemini-pro,gpt-4,gpt-4-turbo,gpt-4,47.68951990790964,-6.234404226844314,-592.2585018946388,12.518415946513414,1322688.3792814165,691.9405807419677,False,True,True
a96fe,original,original,original,original,gpt-4-turbo,0.050641170890181206,-3.288350304614874,-0.5525932513856205,23.918871423229575,1286008.0654411977,100.50641426439873,False,True,True
