id,structure_a17d2,structure_b7b02,structure_92ae6,structure_2b2e8,structure_ffa98,structure_e1550,structure_8d8ac,structure_6a647,structure_1899b,structure_5d807,structure_78f0f,structure_8a9d8,structure_0eee6,structure_b91ec,structure_75a22,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
7549d,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,original,original,original,original,gemini-v15-pro,claude-v3-sonnet_1,11.769033954775127,2.302410196262495,0.1332329750437243,32.5519454292953,30394710.735898625,99.28746062259444,False,False,False
44ee9,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,claude-v3-sonnet,original,original,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.191714749674778,1.2209418749789978,0.13777190017562255,32.76494166068733,30731166.495569702,99.28294802682582,False,False,False
41493,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gemini-v15-pro,original,original,gemini-v15-pro,original,11.556336532113297,2.156138742020327,0.12680123262373882,32.63041804730892,30440217.2683478,99.29385505581064,False,False,False
e6b3a,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,claude-v3-sonnet,original,original,original,gemini-v15-pro,claude-v3-sonnet_1,11.77339222666351,2.067878969901499,0.15920059282647778,32.55033748783171,30467675.778312653,99.26164363757655,False,False,False
ad5e2,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,original,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.775561808060738,2.6368099871248525,0.09494203180040271,32.54953704215586,30290675.57050893,99.32552944801785,False,False,False
b5e19,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,claude-v3-sonnet_1,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet,original,11.824830398716088,1.175486686444506,0.16279496625532386,32.53135988116264,30745308.06558926,99.25807011436247,False,False,False
0ffcb,original,original,original,original,original,original,original,original,original,original,original,original,original,original,original,0.0,0.0,0.0,36.89401452615857,31111013.891906522,99.4199207407835,False,False,False
34a00,original,claude-v3-sonnet_1,gpt-4-turbo_1,claude-v3-sonnet_1,original,original,claude-v3-sonnet,gemini-v15-pro,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,claude-v3-sonnet,claude-v3-sonnet,original,1.4361176205102233,0.8812386599509483,0.0365999277078795,36.36417308263481,30836851.60998833,99.38353312166514,False,False,False
02de2,mistral-large,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,claude-v3-sonnet,original,original,original,original,original,claude-v3-sonnet,gemini-v15-pro,claude-v3-sonnet_1,-2.2690416866124,-0.053100800925516826,0.03274791396000426,37.73115509562194,31127534.089459173,99.3873627906802,True,True,False
c819f,mistral-large,claude-v3-sonnet_1,original,claude-v3-sonnet_1,mistral-large,original,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,2.405736739704982,0.48085759991850097,-0.0067720678622851475,36.00644166395068,30961414.21719559,99.42665352528469,False,False,True
756f4,gpt-4-turbo,claude-v3-sonnet_1,gpt-4-turbo_1,gemini-v15-pro,mistral-large,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,-0.21689370395898644,-0.7021577729399654,-0.028409998244709682,36.97403532080352,31329462.294188976,99.44816593852084,True,True,True
bcde0,original,claude-v3-sonnet_1,gpt-4-turbo_1,gemini-v15-pro,original,gemini-v15-pro,original,gpt-4-turbo_1,original,claude-v3-sonnet,original,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,0.9515832646815616,0.2782543379060784,-0.0799338692891478,36.54293725825846,31024446.14618573,99.49939093027581,False,False,True
23270,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,claude-v3-sonnet_1,mistral-large,original,claude-v3-sonnet_1,original,original,claude-v3-sonnet,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,2.8805506048947436,1.6091093744367508,0.06572654181755574,35.831263767555356,30610403.650889535,99.35457546500282,False,False,False
e1e5e,gpt-4-turbo,original,original,claude-v3-sonnet_1,mistral-large,gemini-v15-pro,original,gemini-v15-pro,gemini-v15-pro,claude-v3-sonnet,original,gpt-4-turbo,original,original,original,-0.29827459433008396,-0.5670838637976785,-0.0016115475788177323,37.00405999831855,31287439.43155138,99.42152294010906,True,True,True
8fc56,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,11.547549388186068,1.9493642400219875,0.13672294950066977,32.63365997746587,30504546.912389424,99.28399089275547,False,False,False
f9474,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,gemini-v15-pro,original,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet,original,10.186498453014138,1.471961129099725,100.0,33.13580630719662,30653071.860548843,0.0,False,False,False
9a5b6,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo_1,original,original,original,original,original,gemini-v15-pro,original,11.501430627484424,1.9751002006057587,0.09634632528099335,32.65067503973842,30496540.19411699,99.32413330055248,False,False,False
14fc7,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.774224762176352,1.8954236178252466,0.15825845306162153,32.55003033205867,30521328.386854433,99.26258031218404,False,False,False
1b009,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet,original,original,original,original,original,original,claude-v3-sonnet,original,11.61646950850844,3.202247630345084,0.12054316625731831,32.60823257826269,30114762.186776616,99.30007682043204,False,False,False
27b35,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,original,original,claude-v3-sonnet,original,11.402576376576366,0.9090520664695934,0.17704415149710312,32.68714634142816,30828198.577222504,99.24390358568888,False,False,False
36ac9,mistral-large,claude-v3-sonnet_1,original,gpt-4-turbo,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,original,original,gemini-v15-pro,claude-v3-sonnet_1,11.37694318554864,3.074789266412685,0.11362879027505068,32.69660345464945,30154415.77608602,99.30695108755333,False,False,False
7d8c9,mistral-large,gpt-4-turbo,original,claude-v3-sonnet_1,gpt-4-turbo,original,claude-v3-sonnet_1,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,original,original,1.370195250026259,0.958636675308632,0.020488978625773153,36.38849449157715,30812772.302678343,99.39955061447316,False,False,False
41401,original,claude-v3-sonnet_1,gpt-4-turbo_1,claude-v3-sonnet_1,original,original,claude-v3-sonnet,gemini-v15-pro,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,original,claude-v3-sonnet,original,0.739088166178038,0.4805916131071537,0.05191713940381794,36.62133523076773,30961496.968389418,99.36830476193734,False,False,False
c26f5,gpt-4-turbo,claude-v3-sonnet_1,gpt-4-turbo_1,original,original,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,gpt-4-turbo,original,original,original,0.22151148087696684,0.6480058601817928,-0.03073987858076449,36.812290048226714,30909412.698724996,99.4504823037043,False,False,True
50903,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,mistral-large,original,claude-v3-sonnet_1,original,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.71617652482085,1.6143398445520545,0.10038275062248225,32.571446657180786,30608776.39860535,99.3201202896772,False,False,False
aec4d,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,original,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.348782469755008,1.5931153105376794,0.17611132822372544,32.70699307322502,30615379.566331055,99.24483099784793,False,False,False
