id,structure_9ac10,structure_5b5aa,structure_0863f,structure_d5b1a,structure_d6b45,structure_e7c5d,structure_d778c,structure_38e0d,structure_3a926,structure_e8200,structure_56afb,structure_8f744,structure_6cf05,structure_771a1,structure_eeed7,structure_4dce7,structure_1eb87,structure_ab85b,structure_7532d,structure_9b992,structure_718d5,structure_26262,structure_19b20,structure_aaeb5,structure_d558d,structure_b0102,structure_2f75f,structure_a0be8,structure_9511e,structure_78c41,structure_ff0de,structure_67365,structure_a1464,structure_a443e,structure_348ad,structure_b2773,structure_21b2f,structure_f5c02,structure_5307f,structure_9d4e6,structure_50ed3,structure_66441,structure_16911,structure_fcf38,structure_ee1b1,structure_452d3,structure_10607,structure_9667f,structure_a306a,structure_69fdc,structure_b03fb,structure_6ed07,structure_c3497,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
ec985,gpt-4-turbo,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-24.656604940680115,-9.308280807022786,15.40888301251994,11.81777247460559,106988877.03494526,182.43265170246326,True,True,False
e15d5,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo_1,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,-0.7318826895070822,0.21265964071763058,5.425067667724043,9.5496461750241,97669960.67014876,203.96415491843842,True,False,False
b4ec6,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,-1.9599042290789193,-0.26788833231656806,5.292210363012253,9.666065831691958,98140311.93371968,204.25068039841526,True,True,False
478a1,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,-4.519995951352343,-1.982647895706411,9.190028034537212,9.908769228775054,99818686.14944722,195.8444878927144,True,True,False
bf19d,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,original,gpt-4-turbo_1,original,gpt-4-turbo,original,original,gpt-4-turbo,original,original,-16.292832026120657,-6.925636209820045,16.12583636088433,11.024864907609299,104656789.58515598,180.88644088096018,True,True,False
6b94b,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo_1,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,-1.0636685499598773,-0.8483341368983336,6.4577514326241205,9.581100343144499,98708441.30464524,201.73702700820303,True,True,False
eca67,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,gpt-4-turbo,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,-7.080240070581882,-2.298583354663007,9.064291124133245,10.151487073488534,100127917.79886782,196.1156572400262,True,True,False
a1935,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo_1,original,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,1.0609104047799145,0.15914777261309102,0.9264859818325976,9.379684696509504,97722337.0741529,213.66597959086567,False,False,False
a93b2,gpt-4-turbo,original,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo_1,original,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,-17.508500093631262,-10.629073131015803,17.474961352390874,11.140113422786817,108281643.57099447,177.97686292001387,True,True,False
53752,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo,gpt-4-turbo,original,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,original,original,gpt-4-turbo,gpt-4-turbo,original,original,original,original,original,original,original,original,original,original,gpt-4-turbo,gpt-4-turbo_1,original,original,original,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo,original,claude-v3-sonnet,original,original,original,original,gpt-4-turbo,original,gpt-4-turbo,original,gpt-4-turbo_1,-33.03822539719272,-11.128054715056784,25.053395851372017,12.612372035300359,108770037.30423698,161.6329021042797,True,True,False
