id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
31a05,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,original,original,-0.07273421470034806,-0.4673610007823763,0.005542938850606577,24.73336398032494,8356178.07402494,99.91601226212013,True,True,False
aeb02,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o_1,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,0.17571718740806327,-0.009578149174472398,0.0008292588400639216,24.671958253700286,8318102.872395619,99.9207222442889,False,True,False
91040,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,0.19857810839140913,-0.5092445409842501,0.006314888143327685,24.666308088507503,8359661.656322824,99.91524091841505,False,True,False
b430d,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,original,original,original,original,-0.07311642496298136,0.03419230217669174,0.0019471483361340304,24.733458445072174,8314462.349919191,99.9196052317676,True,False,False
349e1,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,-0.02440878347642847,0.04222171205452314,0.0017919973620148981,24.72142016276717,8313794.519311318,99.91976026102711,True,False,False
71ea7,original,gpt-4-o,original,original,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,0.38935244668930424,0.026933805976341225,0.0018241514139228727,24.619157471666114,8315066.06127575,99.91972813219978,False,False,False
145a3,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,0.2906070247114686,-0.020906394409547512,-0.001516968161506885,24.643562785284594,8319045.077242124,99.92306663069539,False,True,True
57a1e,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,0.25969584488224917,-0.01926984801997746,0.001075697180820495,24.651202603140845,8318908.960667334,99.92047599927692,False,True,False
26d18,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,0.22683060257256382,-0.3576408477951558,-7.569406887092972e-05,24.659325375109912,8347052.312906726,99.92162648726999,False,True,True
16d5a,original,gpt-4-o,original,original,original,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.24574421485290526,-0.2654299160774011,0.005353895547838821,24.654650802556425,8339382.847339702,99.91620115712004,False,True,False
