id,structure_613f3,structure_1da1a,structure_c7523,structure_aa9fb,structure_d0964,structure_e6340,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
e6531,claude-v3-opus,mistral-large,mistral-large,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,18.916544069400548,7.163572533483314,-29.641651153073965,4.259102267958224,165763930.9925012,168.84209424057153,False,False,True
710bd,claude-v3-opus,claude-v3-sonnet,llama-3-8b,original,gpt-4-turbo,original,8.007887844081374,3.30556705518173,-12.171829683095945,4.832105501927435,172652586.3546922,146.08982892487288,False,False,True
3f92b,gpt-3.5-turbo,llama-3-8b,mistral-large,gpt-4-o,original,original,18.353416598706755,6.957792427927434,-26.75745269917491,4.28868188392371,166131361.32289922,165.08578519305144,False,False,True
04ad3,original,llama-3-8b,llama-3-8b,original,original,claude-v3-opus,9.732913620990042,4.319833070092073,-15.831264088518378,4.741494401125237,170841565.3331834,150.8557861866944,False,False,True
0c026,llama-3-70b,mistral-large,mistral-large,gpt-4-o,gpt-4-turbo,claude-v3-sonnet,4.78279790048138,1.8734900074404888,-10.92990413187983,5.001511057419703,175209629.1814785,144.47237566742697,False,False,True
c16fa,original,claude-v3-sonnet,original,gpt-4-o,gpt-4-turbo,claude-v3-sonnet,-0.6840870333553181,0.24921022587211572,-3.906643286671628,5.288672251440585,178109859.28481293,135.3254536793492,True,False,True
bbf08,mistral-large,llama-3-8b,gpt-3.5-turbo,claude-v3-sonnet,gpt-4-turbo,original,19.423178678379422,7.889039439325408,-29.485643325578263,4.23249007454142,164468574.747123,168.63891348748783,False,False,True
9e4c4,gpt-3.5-turbo,claude-v3-sonnet,mistral-large,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,18.34372265611735,7.315395004969628,-29.31332194628583,4.28919108142145,165492844.627231,168.41448636623954,False,False,True
5d48b,claude-v3-opus,llama-3-8b,mistral-large,claude-v3-sonnet,gpt-4-turbo,claude-v3-opus,29.85674654080383,14.490893484158708,-46.54338438213625,3.6844419920351354,152680645.07151145,190.85449541957848,False,False,True
090d9,gpt-3.5-turbo,claude-v3-sonnet,gpt-4-turbo,original,gpt-4-turbo,claude-v3-haiku,7.088741606236779,1.6151981310850458,-12.240173483458333,4.880385854328051,175670821.818211,146.17883820760656,False,False,True
dfbd2,original,llama-3-8b,original,claude-v3-sonnet,original,claude-v3-haiku,20.667344705590462,7.977913923152265,-31.48632146074934,4.167137281084433,164309885.05810645,171.24454742719098,False,False,True
a9911,original,llama-3-8b,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-sonnet,22.011841643631893,8.635729949354328,-30.751238984270348,4.0965143667999655,163135322.73005426,170.28719411007137,False,False,True
be778,claude-v3-opus,llama-3-8b,gpt-3.5-turbo,gpt-4-o,gpt-4-turbo,original,18.116352428156688,8.172784401329437,-27.153291509937507,4.3011342459358275,163961934.395004,165.60131591328224,False,False,True
78d53,llama-3-70b,claude-v3-sonnet,mistral-large,original,gpt-4-turbo,claude-v3-sonnet,5.7854715361487905,0.490509597738121,-9.325165718583376,4.948843228863552,177679007.58663705,142.38240387210215,False,False,True
f004f,claude-v3-opus,claude-v3-sonnet,mistral-large,claude-v3-sonnet,original,claude-v3-haiku,19.698278839721237,7.582352244984562,-26.473713864666028,4.2180397812277075,165016179.56461057,164.71625072160836,False,False,True
e6c06,original,claude-v3-sonnet,mistral-large,claude-v3-sonnet,original,original,8.597433141260064,3.0737897725036554,-15.242969886059429,4.801138226501644,173066435.90211618,150.08960630322875,False,False,True
44fad,original,mistral-large,gpt-3.5-turbo,gpt-4-o,gpt-4-turbo,claude-v3-sonnet,-2.590008982968881,-1.3858831889424978,-4.1967290334153775,5.388785355957225,181029397.65327695,135.70325421300427,True,True,True
fa3cc,claude-v3-opus,claude-v3-sonnet,original,original,gpt-4-turbo,claude-v3-opus,5.650841972376244,2.1486090750159725,-12.7725871784286,4.95591496839188,174718390.78102678,146.8722406940883,False,False,True
