id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
ed009,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,0.6303196755728513,0.1865321989108781,0.0017181181722835848,24.65081664423148,8126385.965949857,99.91552457025831,False,False,False
1629d,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,-0.149253243082129,0.5693119144129913,0.0013091158904562018,24.844206710656483,8095221.677436151,99.91593323405503,True,False,False
a3cc4,original,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,0.9057143784461514,0.5191658059310614,0.008770553784665113,24.58249898130695,8099304.359274504,99.90847797115232,False,False,False
81adb,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,original,original,0.8056667244668477,-0.569455852898156,-0.012413755908052668,24.607317984104156,8187935.28218932,99.92964474897865,False,True,True
0e94b,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,original,original,original,original,original,original,0.7699657233893333,-0.3012103984332437,0.010053865191520118,24.616174396127462,8166095.883713178,99.90719572179773,False,True,False
71042,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.5666308566489586,-1.2754945467498846,-0.01544318671103259,24.666616044938564,8245417.935177273,99.93267167266306,False,True,True
0b45f,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,-0.17758900944118294,0.45250795207803524,0.0027802962224723698,24.851236015558243,8104731.356853138,99.91446327125323,True,False,False
60932,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,original,original,original,original,0.6814511978113889,-9.639385586249107,0.004338285846394212,24.638132354865473,8926370.198047942,99.91290657100178,False,True,False
3c249,gpt-4-o,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,original,gpt-4-o,original,gpt-4-o,original,0.8999890033282953,-8.732286037632605,0.0009899237574236429,24.583919285486143,8852518.029558148,99.9162521620287,False,True,False
97183,gpt-4-o,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o_1,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,0.7838884042570949,-8.148586384293706,-0.017579362369736017,24.61272057145834,8804995.698396629,99.93480608044985,False,True,True
